,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
115,제주 고소리술 맛 그래프,제주,고,소리,술,맛,그래프,향,약함,강함,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,
116,두레앙 22 맛 그래프,두레,앙,22,맛,그래프,향,약함,강함,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,
117,가을빛 레드와인 맛 그래프,가을,빛,레드,와인,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,,,,,,,
118,금산농원 사과와인 맛 그래프,금산,농원,사과,와인,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,
119,심플리 애플 맛 그래프,심플리,애플,맛,그래프,향,약함,맛,드라이,바디감,가벼움,강함,스위트,목넘김,부드러움,균형감,무거움,거침,출처,:,전진,아,",",이재욱,소믈리에,,,,,,,,,,,
120,문희 '햇찹쌀 수제전통주 맛그래프,문희,',햇,찹쌀,수제,전통주,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,
121,펀치바나나 맛 그래프,펀치,바나나,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,,
122,감천막걸리 맛 그래프,감천,막걸리,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,경기도,농업,기술원,이대형,박사,",",세종,사이버대,명욱,교수,,,,,,
123,병영성 생막걸리 맛 그래프,병영성,생,막걸리,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,
124,블루베리이야기 맛 그래프,블루,베리,이야기,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,
125,부자막걸리 맛 그래프,부자,막걸리,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,,,
126,금산인삼주 맛 그래프,금산,인삼주,맛,그래프,단맛,낮음,신맛,낮음,청량감,낮음,바디감,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,,,
127,불소곡주 맛 그래프,불,소곡주,맛,그래프,향기,약함,강함,맛,드라이,스위트,바디감,라이트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,,
128,김포특주 맛 그래프,김포,특주,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,,,,
129,해창12도 생막걸리 맛그래프,해창,12,도,생,막걸리,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,
130,대작 생막걸리 맛 그래프,대작,생,막걸리,맛,그래프,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,NAVER,,,,,,
131,자희향탁주 맛그래프,자희,향,탁주,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,,
132,은자골생탁배기 맛그래프,은자,골생,탁배기,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,청량감,낮음,높음,바디감,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,,
133,르깔롱 맛 그래프,르,깔롱,맛,그래프,향,약함,강함,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,,
134,화주 맛 그래프,화주,맛,그래프,향,약함,강함,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,,,,,,
135,오디랑 맛그래프,오디,랑,맛,그래프,단맛,낮음,높음,신맛,낮음,높음,바디감,낮음,높음,목넘김,무거움,가벼움,출처,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,,,,,
136,모을동주 소주 맛 그래프,모을,동주,소주,맛,그래프,향,약함,바디감,가벼움,강함,무거움,목넘김,부드러움,거침,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,NAVER,,,,,,,,,
137,단맛,단맛,약함,신맛,약함,청량감,약함,바디감,가벼움,백년,향,맛,그래프,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,,,,,
138,완도유자막걸리 맛 그래프,완도,유자,막걸리,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,무거움,바디감,가벼움,균형감,출처,:,김영우,소믈리에,VER,,,,,,,,,,,,
139,아이원 막걸리 맛 그래프,아이원,막걸리,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,,,,
140,아홉쌀 맛 그래프,아홉,쌀,맛,그래프,단맛,약함,강함,신맛,약함,강함,청량감,약함,강함,바디감,가벼움,무거움,균형감,출처,:,경기도,농업,기술원,이대형,박사,",",세종,사이버대,명욱,교,ve,,,,,
141,지리산 정담 생막걸리 맛 그래프,지리산,정담,생,막걸리,맛,그래프,단맛,낮음,신맛,낮음,청량감,낮음,바디감,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,AVER,,,,,,,,,
142,계룡산 산삼주 금수강산 40% 맛 그래프,계룡산,산삼주,금수,강산,40,%,맛,그래프,향,약함,강함,바디감,가벼움,무거움,목넘김,부드러움,거침,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,
