DrinkName,ModifiedDate,DrinkID,Alcoholic,Category,ImageUrlPath,Glass,IBA,Instruction,Ingredients,Measures
Brandy Sour,2017-09-02 16:35:40,11170,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tu0mts1504366540.jpg,Whiskey sour glass,,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve.","[['Brandy', 1], ['Lemon', 2], ['Powdered sugar', 3], ['Lemon', 4], ['Cherry', 5]]","[['2 oz ', 1], ['Juice of 1/2 ', 2], ['1/2 tsp ', 3], ['1/2 slice ', 4], ['1 ', 5]]"
Brave Bull Shooter,2016-09-08 15:23:45,13068,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg,Shot glass,,Pour Tabasco into bottom of shot glass and fill with tequila.,"[['Tequila', 1], ['Tabasco sauce', 2]]","[['1/2 oz ', 1], ['1/2 oz ', 2]]"
Bruce's Puce,2016-09-08 15:22:38,13066,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg,Shot glass,,"In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)","[['Grenadine', 1], ['Kahlua', 2], [""Bailey's irish cream"", 3]]",[]
Bruised Heart,2017-08-24 09:43:29,16998,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,Shot glass,,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass","[['Vodka', 1], ['Chambord raspberry liqueur', 2], ['Peachtree schnapps', 3], ['Cranberry juice', 4]]","[['1/2 oz ', 1], ['1/2 oz ', 2], ['1/2 oz ', 3], ['1/2 oz ', 4]]"
Bubble Gum,2016-07-18 22:53:03,14730,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,Shot glass,,Layer in order into a shot glass.,"[['Vodka', 1], ['Banana liqueur', 2], ['Orange juice', 3], ['Peach schnapps', 4]]","[['1/4 ', 1], ['1/4 ', 2], ['1/4 ', 3], ['1/4 ', 4]]"
Buccaneer,2015-09-03 03:57:03,17035,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,Beer pilsner,,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,"[['Corona', 1], ['Bacardi Limon', 2]]","[['1 ', 1], ['1 shot ', 2]]"
Bumble Bee #1,2016-04-28 18:59:38,14538,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,Shot glass,,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!","[[""Bailey's irish cream"", 1], ['Kahlua', 2], ['Sambuca', 3]]","[['1/3 oz ', 1], ['1/3 oz ', 2], ['1/3 oz ', 3]]"
Butter Baby,2017-09-07 12:29:23,17220,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg,Beer mug,,Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.,"[['Vanilla Ice-Cream', 1], ['Butterscotch schnapps', 2], ['Milk', 3], ['Vodka', 4]]","[['2 scoops ', 1], ['1 part ', 2], ['full glass ', 3], ['2 parts ', 4], ['\r\n', 5], ['\r\n', 6], ['\r\n', 7]]"
Cafe Savoy,2015-09-03 03:35:11,14181,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee mug,,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.","[['Coffee', 1], ['Milk', 2], ['Triple sec', 3], ['Brandy', 4]]","[['1/2 oz ', 2], ['1/2 oz ', 3]]"
Caipirinha,2016-07-21 09:42:01,11202,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xyrppt1469090521.jpg,Old-fashioned glass,Contemporary Classics,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,"[['Sugar', 1], ['Lime', 2], ['Cachaca', 3]]","[['2 tsp', 1], ['1 ', 2], ['2 1/2 oz ', 3]]"
Caipirissima,2017-08-24 10:05:15,13206,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,Collins Glass,,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,"[['Lime', 1], ['Sugar', 2], ['White rum', 3], ['Ice', 4]]","[['2 ', 1], ['2 tblsp ', 2], ['2-3 oz ', 3], ['crushed ', 4]]"
California Lemonade,2016-08-28 18:47:04,11205,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qvvxwy1472406424.jpg,Collins glass,,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.,"[['Blended whiskey', 1], ['Lemon', 2], ['Lime', 3], ['Powdered sugar', 4], ['Grenadine', 5], ['Carbonated water', 6]]","[['2 oz ', 1], ['Juice of 1 ', 2], ['Juice of 1 ', 3], ['1 tblsp ', 4], ['1/4 tsp ', 5]]"
California Root Beer,2016-09-01 09:45:26,14282,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg,Highball glass,,Put Kahlua and Galliano in highball glass fill with soda,"[['Kahlua', 1], ['Galliano', 2], ['Soda water', 3]]","[['3/4 oz ', 1], ['3/4 oz ', 2], ['Fill with ', 3]]"
Campari Beer,2015-09-03 03:58:50,16047,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,Beer mug,,Use a 15 oz glass. Add Campari first. Fill with beer.,"[['Lager', 1], ['Campari', 2]]","[['1 bottle ', 1], ['1 1/2 cl ', 2]]"
Caribbean Boilermaker,2016-02-03 15:01:06,17065,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,Beer pilsner,,Pour the Corona into an 18oz beer glass pour the rum into the beer.,"[['Corona', 1], ['Light rum', 2]]","[['1 bottle ', 1], ['1 shot ', 2]]"
Caribbean Orange Liqueur,2016-08-31 19:19:30,12796,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg,Collins Glass,,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age.","[['Orange', 1], ['Vodka', 2], ['Sugar', 3]]","[['3 large ', 1], ['3 cups ', 2], ['1 1/3 cup superfine ', 3]]"
